"Unsafe/Protected","Name","DNS Name","Distinguished Name","Member of","IP Addresses","MAC Addresses","Policy","OS Version","Zones","State","Offline Date","Agent Version","Added","Files Analyzed","Script Control","Unsafe","Quarantined","Waived","Abnormal","Exploit Attempts","Last Reported Users","Background Detection"
"Protected","HNPRDBAAPP","HNPRDBAAPP","","","150.150.60.220","00-50-56-A8-AE-5B","5-AQT MPT SCB","Microsoft Windows Server 2012 R2 Standard","BASA HN SERVERS PRD","Online","","2.0.1530","3/17/2019 3:06:42 AM","43638","0","0","1","0","0","0","HNPRDBAAPP\INFADMIN","Not Running"
"Protected","OCBPRDRBAPP1","OCBPRDRBAPP1","","","150.150.70.106","00-50-56-B0-2B-8E","5-AQT MPT SCB","Microsoft Windows Server 2012 R2 Standard","BASA HN SERVERS SAP","Online","","2.0.1530","3/19/2019 2:57:35 AM","26697","0","0","0","0","0","0","OCBPRDRBAPP1\OCBADM","Not Running"
"Protected","SW-DPA","SW-DPA","","","10.128.0.142","00-50-56-A8-50-67","5-AQT MPT SCB","Microsoft Windows Server 2016 Standard","BASA HN SERVERS PRD","Online","","2.0.1530","3/13/2019 4:28:36 AM","55373","0","0","0","0","0","0","SW-DPA\INFADMIN","Not Running"
"Protected","TSMPRXYV6BASA1","tsmprxyv6basa1","","","192.168.145.74","00-50-56-A8-53-EF","5-AQT MPT SCB","Microsoft Windows Server 2012 R2 Standard","BASA HN SERVERS PRD","Online","","2.0.1530","3/14/2019 12:20:36 AM","39534","0","0","1","0","0","0","TSMPRXYV6BASA1\ADMINISTRATOR","Not Running"
"Protected","HNDDESSOPAPP","HNDDESSOPAPP.ADBancat.hn","CN=HNDDESSOPAPP, OU=Desarrollo, OU=HONDURAS, OU=SERVIDORES, OU=Computadores, DC=ADBancat, DC=hn","Domain Computers","150.150.6.132","00-50-56-B0-68-27","Default","Microsoft Windows Server 2016 Standard","BASA HN SERVERS DEV","Online","","2.0.1530","6/19/2019 5:21:53 PM","55847","0","0","0","0","0","0","HNDDESSOPAPP\INFADMIN","Not Running"
"Protected","JTDB01-ROL","JTDB01-ROL","","","150.150.6.159","00-50-56-B0-8F-FC","5-AQT MPT SCB + Optics","Red Hat Enterprise Linux Server release 7.1 (Maipo)","BASA HN SERVERS DEV","Online","","2.0.1530","3/11/2019 10:54:43 PM","11390","0","0","0","1","0","0","","Not Running"
"Protected","TSMPRXYV6BASA6","tsmprxyv6basa6","","","192.168.145.77","00-50-56-A8-FE-BC","5-AQT MPT SCB","Microsoft Windows Server 2012 R2 Standard","BASA HN SERVERS PRD","Online","","2.0.1530","3/14/2019 12:24:25 AM","40433","0","0","0","0","0","1","TSMPRXYV6BASA6\ADMINISTRATOR","Not Running"
"Protected","PRDCSBACKEND2","Prdcsbackend2","","","150.150.70.145","00-50-56-A8-A0-FC","5-AQT MPT SCB","Microsoft Windows Server 2012 R2 Standard","BASA HN SERVERS SAP","Online","","2.0.1530","10/30/2018 6:07:02 PM","33197","0","0","1","0","0","0","PRDCSBACKEND2\INFADMIN","Not Running"
"Protected","HNSBXOCBPER","HNSBXOCBPER.ADBancat.hn","CN=HNSBXOCBPER, OU=Produccion, OU=HONDURAS, OU=SERVIDORES, OU=Computadores, DC=ADBancat, DC=hn","Domain Computers","150.150.6.23","00-50-56-B0-55-C0","5-AQT MPT SCB + Optics","Microsoft Windows Server 2016 Standard","BASA HN SERVERS DEV","Online","","2.0.1530","6/5/2019 8:32:30 AM","43902","2","0","0","0","0","0","HNSBXOCBPER\OCBSP05,HNSBXOCBPER\INFADMIN","Not Running"
"Protected","OCBAPPSERVER1DE","OCBAppServer1DEV","","","150.150.70.153","00-50-56-B0-94-4F","5-AQT MPT SCB","Microsoft Windows Server 2012 R2 Standard","BASA HN SERVERS SAP","Online","","2.0.1530","2/21/2019 2:13:51 PM","26183","0","0","1","0","0","1","OCBAPPSERVER1DE\INFADMIN","Not Running"
"Protected","REQUERIMIENTODE","RequerimientodeSistemasAPP.ADBancat.hn","","","10.128.0.134","00-50-56-A8-8B-A1","5-AQT MPT SCB","Microsoft Windows Server 2016 Standard","BASA HN SERVERS PRD","Online","","2.0.1530","3/13/2019 3:58:08 AM","59322","0","0","1","0","0","0","REQUERIMIENTODE\INFADMIN","Not Running"
"Protected","TSMPRXYV6BASA3","tsmprxyv6basa3","","","192.168.145.76","00-50-56-A8-27-D4","5-AQT MPT SCB","Microsoft Windows Server 2012 R2 Standard","BASA HN SERVERS PRD","Online","","2.0.1530","3/14/2019 12:23:32 AM","33788","0","0","0","0","0","0","TSMPRXYV6BASA3\INFADMIN,TSMPRXYV6BASA3\ADMINISTRATOR","Not Running"
"Protected","ITGUVCONTA","ITGUVCONTA.ADBancat.hn","CN=ITGUVCONTA, OU=HONDURAS, OU=SERVIDORES, OU=Computadores, DC=ADBancat, DC=hn","","150.150.60.13","00-50-56-9A-00-10","5-AQT MPT SCB","Microsoft(R) Windows(R) Server 2003, Standard Edition, Service Pack 2","BASA HN SERVERS PRD","Online","","2.0.1530","5/29/2019 7:04:15 PM","15423","0","0","0","0","0","0","ITGUVCONTA\INFADMIN","Not Running"
"Protected","NIPRDPELOM_APP","NIPRDPELOM_APP.ADBancat.hn","CN=NIPRDPELOM_APP, OU=HONDURAS, OU=SERVIDORES, OU=Computadores, DC=ADBancat, DC=hn","Domain Computers","10.128.14.9","00-50-56-A8-06-8B","5-AQT MPT SCB","Microsoft Windows Server 2012 R2 Standard","BASA HN SERVERS PRD","Online","","2.0.1530","4/23/2019 4:13:34 PM","35192","2","0","0","0","0","0","NIPRDPELOM_APP\INFADMIN,NIPRDPELOM_APP\CONSULTOR","Not Running"
"Protected","ECMQCONTENTFEOP","ECMQCONTENTFEOP","","","150.150.70.154","00-50-56-B0-1C-89","5-AQT MPT SCB","Microsoft Windows Server 2012 R2 Standard","BASA HN SERVERS SAP","Online","","2.0.1530","11/26/2018 11:15:12 PM","34282","0","0","0","0","0","1","ECMQCONTENTFEOP\INFADMIN","Not Running"
"Protected","SRV-ECMPARCHIV","SRV-ECMPARCHIV","","","150.150.70.78, 169.254.104.0","00-50-56-B0-30-17,02-00-4C-4F-4F-50","5-AQT MPT SCB","Microsoft Windows Server 2012 R2 Standard","BASA HN SERVERS SAP","Offline","2/27/2019 11:54:36 PM","2.0.1494","11/26/2018 10:06:07 PM","48404","0","0","0","0","0","0","SRV-ECMPARCHIV\OTEXT","Not Running"
"Protected","HNPRDABAPRTG_AP","HNPRDABAPRTG_APP.ADBancat.hn","","","10.128.2.73","00-50-56-A8-29-61","Default","Microsoft Windows Server 2016 Standard","BASA HN SERVERS QAS","Online","","2.0.1530","6/27/2019 9:58:09 PM","36590","0","0","0","0","0","0","HNPRDABAPRTG_AP\INFADMIN,ADBANCAT\SVC_SQL_SENSOR","Not Running"
"Protected","jtellerdev","jtellerdev","","","10.32.0.2, 150.150.6.58, 172.17.0.1","00-50-56-B0-57-6C,02-42-04-84-10-6E,E2-1B-DD-2C-7A-D5","5-AQT MPT SCB + Optics","Red Hat Enterprise Linux Server release 7.5 (Maipo)","BASA HN SERVERS DEV","Online","","2.0.1530","3/11/2019 11:10:45 PM","17243","0","0","1","0","0","0","ROOT,AHENRIQUEZ2","Not Running"
"Protected","SRV-QFLOWREP","SRV-QFLOWREP.ADBancat.hn","CN=SRV-QFLOWREP, OU=HONDURAS, OU=SERVIDORES, OU=Computadores, DC=ADBancat, DC=hn","Domain Computers","10.128.0.71","00-50-56-B0-44-94","5-AQT MPT SCB","Microsoft Windows Server 2012 Standard","BASA HN SERVERS PRD","Online","","2.0.1530","11/26/2018 10:24:23 PM","61774","2","0","1","0","0","0","SRV-QFLOWREP\INFADMIN","Not Running"
"Protected","ECMDDB","ECMDDB","","","150.150.70.114","00-50-56-B0-18-DB","5-AQT MPT SCB","Microsoft Windows Server 2012 R2 Standard","BASA HN SERVERS SAP","Online","","2.0.1530","11/26/2018 9:32:53 PM","40970","0","0","0","0","0","14","ECMDDB\INFADMIN,ECMDDB\SAP","Not Running"
"Protected","SRV_AOLTRAN-7","SRV_AOLTRAN-7","","","150.150.60.189","00-50-56-B0-CE-76","5-AQT MPT SCB","Microsoft Windows Server 2012 Standard","BASA HN SERVERS PRD","Online","","2.0.1530","11/26/2018 10:27:17 PM","53465","0","0","1","0","0","0","SRV_AOLTRAN-7\OPERADOR","Not Running"
"Protected","VSRVSAPERPPRD","vsrvsaperpprd","","","150.150.70.20","00-50-56-B0-10-83","5-AQT MPT SCB","Microsoft Windows Server 2008 R2 Enterprise, Service Pack 1","BASA HN SERVERS SAP","Online","","2.0.1510","3/19/2019 2:21:59 AM","37128","0","0","2","0","0","0","VSRVSAPERPPRD\PRDADM","Not Running"
"Protected","HNDEVOCBEMP","HNDEVOCBEMP.ADBancat.hn","CN=HNDEVOCBEMP, OU=Desarrollo, OU=HONDURAS, OU=SERVIDORES, OU=Computadores, DC=ADBancat, DC=hn","Domain Computers","150.150.6.49","00-50-56-B0-D9-EC","5-AQT MPT SCB + Optics","Microsoft Windows Server 2016 Standard","BASA HN SERVERS DEV","Online","","2.0.1530","4/16/2019 3:06:25 PM","56505","2","0","0","0","0","0","HNDEVOCBEMP\OCBSP05","Not Running"
"Protected","WIN-PH60DT964LH","WIN-PH60DT964LH","","","150.150.60.166","00-50-56-9A-55-68","5-AQT MPT SCB","Microsoft Windows Server 2012 R2 Standard","BASA HN SERVERS PRD","Offline","6/26/2019 6:19:11 PM","2.0.1530","3/21/2019 5:49:44 PM","25362","0","0","0","0","0","0","WIN-PH60DT964LH\ADMINISTRATOR","Not Running"
"Protected","HNQASTRAEMP_APP","HNQASTRAEMP_APP","","","10.128.254.60","00-50-56-A8-D3-2D","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 Standard","BASA HN SERVERS PRD, BASA HN SERVERS QAS","Offline","7/12/2019 4:20:59 AM","2.0.1530","5/15/2019 6:08:34 AM","53408","0","0","1","0","0","0","HNQASTRAEMP_APP\OPERADOR,HNQASTRAEMP_APP\INFADMIN","Not Running"
"Protected","HNPRDABAREPLICA","HNPRDABAREPLICATION_DB.ADBancat.hn","","","10.128.2.72","00-50-56-A8-AB-70","Default","Microsoft Windows Server 2016 Standard","BASA HN SERVERS QAS","Online","","2.0.1530","6/27/2019 10:09:32 PM","61299","0","0","0","0","0","0","ADBANCAT\SVC_SQL_SENSOR,HNPRDABAREPLICA\INFADMIN","Not Running"
"Protected","HNPRDSST_APP","HNPRDSST_APP.ADBancat.hn","CN=HNPRDSST_APP, OU=Produccion, OU=HONDURAS, OU=SERVIDORES, OU=Computadores, DC=ADBancat, DC=hn","Domain Computers","150.150.70.16","00-50-56-B0-18-E5","5-AQT MPT SCB","Microsoft Windows Server 2008 R2 Standard, Service Pack 1","BASA HN SERVERS SAP","Offline","6/12/2019 4:04:30 AM","2.0.1530","11/27/2018 12:28:15 AM","42924","0","0","0","0","0","0","HNPRDSST_APP\SAP","Not Running"
"Protected","saphanabckprd","saphanabckprd","","","150.150.70.182","00-50-56-A8-1A-F1","5-AQT MPT SCB","SUSE Linux Enterprise Server for SAP Applications 12 SP2","BASA HN SERVERS SAP","Offline","7/3/2019 12:23:30 PM","2.0.1530","3/28/2019 2:15:42 AM","104884","0","0","0","0","0","0","ROOT","Not Running"
"Protected","HNQASPOCRMAPP","HNQASPOCRMAPP.ADBancat.hn","CN=HNQASPOCRMAPP, OU=QA, OU=HONDURAS, OU=SERVIDORES, OU=Computadores, DC=ADBancat, DC=hn","Domain Computers","150.150.70.80","00-50-56-B0-B5-3C","5-AQT MPT SCB","Microsoft Windows Server 2016 Standard","BASA HN SERVERS SAP","Online","","2.0.1530","6/4/2019 4:31:33 PM","55191","2","0","0","0","0","0","ADBANCAT\JGAGUILAR,HNQASPOCRMAPP\INFADMIN,ADBANCAT\JAROSALES,HNQASPOCRMAPP\OQHADM,ADBANCAT\GLOPEZM,HNQASPOCRMAPP\SAPINSTALL","Not Running"
"Protected","VSRVEDPREPDES","VSRVEDPREPDES","","","150.150.6.39","00-50-56-9A-7E-3A","5-AQT MPT SCB + Optics","Microsoft Windows Server 2008 R2 Standard, Service Pack 1","BASA HN SERVERS DEV","Online","","2.0.1530","11/26/2018 10:32:09 PM","36799","0","0","0","0","0","0","VSRVEDPREPDES\EDPADMIN","Not Running"
"Protected","APISER","APISER","","","192.168.109.33","00-50-56-B0-AF-89","5-AQT MPT SCB","Red Hat Enterprise Linux Server release 7.1 (Maipo)","BASA HN SERVERS PRD","Online","","2.0.1530","3/26/2019 5:56:12 PM","12807","0","0","0","0","0","907","ROOT","Not Running"
"Protected","DHCP","DHCP","","","10.169.0.20","00-50-56-A8-0A-3C","5-AQT MPT SCB","Microsoft Windows Server 2012 R2 Standard","BASA HN SERVERS PRD","Online","","2.0.1530","3/16/2019 1:35:24 AM","31406","0","0","0","0","0","12","DHCP\JBACA,DHCP\BPAZ,DHCP\INFADMIN","Not Running"
"Protected","HNPRDDOCUCENTRO","HNPRDDOCUCENTRO_APP.ADBancat.hn","","","10.128.0.102","00-50-56-A8-7B-8E","5-AQT MPT SCB","Microsoft Windows Server 2012 R2 Standard","BASA HN SERVERS PRD","Online","","2.0.1530","5/16/2019 5:03:04 PM","27504","2","0","0","0","0","0","ADBANCAT\DARIVERA","Not Running"
"Protected","SRVDES-WEBSOCK","SRVDES-WEBSOCK","","","150.150.6.28","00-50-56-B0-AC-4B","5-AQT MPT SCB + Optics","Microsoft Windows Server 2008 R2 Standard, Service Pack 1","BASA HN SERVERS DEV","Online","","2.0.1530","4/22/2019 11:28:50 PM","63285","0","0","1","0","0","0","SRVDES-WEBSOCK\INFADMIN","Not Running"
"Protected","TEMPLATE","Template","","","10.128.0.175","00-50-56-A8-23-33","Default","Microsoft Windows Server 2019 Datacenter","BASA HN SERVERS PRD","Offline","7/2/2019 8:47:04 PM","2.0.1530","7/2/2019 8:33:03 PM","0","0","0","0","0","0","0","","Not Running"
"Protected","WSCERVECERIATRA","wsCerveceriaTrans.ADBancat.hn","","","10.128.0.169","00-50-56-A8-59-1B","5-AQT MPT SCB","Microsoft Windows Server 2016 Standard","BASA HN SERVERS PRD","Online","","2.0.1530","3/14/2019 1:21:14 AM","63518","2","0","0","0","0","0","WSCERVECERIATRA\INFADMIN","Not Running"
"Protected","QC-LOADGENERATO","QC-LOADGENERATOR","","","150.150.70.133","00-50-56-B0-42-B4","5-AQT MPT SCB","Microsoft Windows Server 2012 R2 Standard","BASA HN SERVERS SAP","Online","","2.0.1530","10/25/2018 4:34:39 AM","32358","0","0","1","0","0","8","QC-LOADGENERATO\LREYES,QC-LOADGENERATO\INFADMIN,QC-LOADGENERATO\RESCALANTE,QC-LOADGENERATO\AORDONEZ","Not Running"
"Protected","SMSSYSAID","SMSSYSAID","","","10.128.0.130","00-50-56-AF-04-B2","5-AQT MPT SCB","Microsoft Windows Server 2012 R2 Standard","BASA HN SERVERS PRD","Online","","2.0.1530","11/16/2018 4:50:49 PM","53232","0","0","0","0","0","0","SMSSYSAID\INFADMIN","Not Running"
"Protected","CONTENTSECURITY","ContentSecurityReporterCSR","","","10.128.10.100","00-50-56-A8-F1-D5","5-AQT MPT SCB","Microsoft Windows Server 2012 R2 Standard","BASA HN SERVERS PRD","Online","","2.0.1530","11/15/2018 3:11:49 PM","36993","0","0","0","0","0","0","CONTENTSECURITY\INFADMIN","Not Running"
"Protected","OCB-TRANSCPRD","OCB-TRANSCPRD","","","150.150.60.167","00-50-56-B0-DC-82","5-AQT MPT SCB","Microsoft Windows Server 2012 Standard","BASA HN SERVERS PRD","Online","","2.0.1530","11/26/2018 10:25:46 PM","66460","0","0","1","0","0","0","OCB-TRANSCPRD\OPERADOR","Not Running"
"Protected","OCBPRDBADMAPP1","OCBPRDBADMAPP1","","","150.150.70.110","00-50-56-B0-05-DB","5-AQT MPT SCB","Microsoft Windows Server 2012 R2 Standard","BASA HN SERVERS SAP","Online","","2.0.1530","3/19/2019 3:36:46 AM","27361","0","0","0","0","0","0","OCBPRDBADMAPP1\OCBADM","Not Running"
"Protected","OCBSP04DATABASE","OCBSP04DatabaseDEV","","","150.150.70.152","00-50-56-B0-74-78","5-AQT MPT SCB","Microsoft Windows Server 2012 R2 Standard","BASA HN SERVERS SAP","Online","","2.0.1530","2/21/2019 1:55:46 PM","26145","0","0","1","0","0","0","OCBSP04DATABASE\INFADMIN","Not Running"
"Protected","SRVPOWERTECH","SRVPowerTech","","","10.128.0.26","00-50-56-B0-61-75","5-AQT MPT SCB","Microsoft Windows Server 2012 R2 Standard","BASA HN SERVERS PRD","Online","","2.0.1530","11/26/2018 10:25:51 PM","26387","0","0","1","0","0","2","SRVPOWERTECH\INFADMIN","Not Running"
"Protected","ORIONSOLARWINDS","OrionSolarwindsDB","","","10.128.0.168","00-50-56-B0-46-76","5-AQT MPT SCB","Microsoft Windows Server 2012 R2 Standard","BASA HN SERVERS PRD","Online","","2.0.1530","3/14/2019 1:26:44 AM","44932","0","0","1","0","0","0","ORIONSOLARWINDS\INFADMIN","Not Running"
"Protected","contactoatlantida.adbancat.hn","contactoatlantida.adbancat.hn","","","10.128.0.47","00-50-56-A8-06-0B","5-AQT MPT SCB","Red Hat Enterprise Linux Server release 7.2 (Maipo)","BASA HN SERVERS PRD","Online","","2.0.1530","3/29/2019 10:13:12 PM","12764","0","0","0","0","0","58","ROOT,(UNKNOWN)","Not Running"
"Protected","DEV-TRAN-KIOSK","DEV-TRAN-KIOSK","","","150.150.6.130","00-50-56-B0-4C-74","5-AQT MPT SCB + Optics","Microsoft(R) Windows(R) Server 2003, Standard Edition, Service Pack 2","BASA HN SERVERS DEV","Online","","2.0.1530","5/21/2019 9:15:07 AM","11010","0","0","1","0","0","0","DEV-TRAN-KIOSK\INFADMIN","Not Running"
"Protected","ECMQCONTENTFENE","ECMQCONTENTFENE","","","150.150.70.155","00-50-56-B0-BB-50","5-AQT MPT SCB","Microsoft Windows Server 2012 R2 Standard","BASA HN SERVERS SAP","Online","","2.0.1530","3/4/2019 8:15:54 PM","31351","0","0","0","0","0","4","ECMQCONTENTFENE\INFADMIN","Not Running"
"Protected","MWDB02V2PRD","MWDB02v2PRD","","","150.150.60.245","00-50-56-B0-33-36","5-AQT MPT SCB","Microsoft Windows Server 2012 R2 Standard","BASA HN SERVERS PRD","Online","","2.0.1530","11/26/2018 10:43:37 PM","36135","0","0","0","0","0","3","MWDB02V2PRD\INFADMIN","Not Running"
"Protected","VSRVNWPORDEV","VSRVNWPORDEV","","","150.150.70.161","00-50-56-B0-13-E5","5-AQT MPT SCB","SUSE Linux Enterprise Server for SAP Applications 12 SP1","BASA HN SERVERS SAP","Online","","2.0.1530","3/18/2019 6:24:31 PM","145795","0","0","0","0","0","0","(UNKNOWN)","Not Running"
"Protected","TSMPRXYVBASA2","tsmprxyvbasa2","","","192.168.145.172","00-50-56-B0-B3-23","5-AQT MPT SCB","Microsoft Windows Server 2012 R2 Standard","BASA HN SERVERS PRD","Online","","2.0.1530","2/20/2019 1:13:08 AM","34679","0","0","1","0","0","13","TSMPRXYVBASA2\INFADMIN","Not Running"
"Protected","SRV-IDENTITYGUA","SRV-IDENTITYGUARD","","","150.150.60.53","00-50-56-A8-62-11","5-AQT MPT SCB","Microsoft Windows Server 2012 R2 Standard","BASA HN SERVERS PRD","Online","","2.0.1530","11/26/2018 9:40:04 PM","41554","0","0","0","0","0","1","SRV-IDENTITYGUA\INFADMIN","Not Running"
"Protected","sapcrmpro","sapcrmpro","","","150.150.70.143","00-50-56-A8-E7-AE","5-AQT MPT SCB","SUSE Linux Enterprise Server 15","BASA HN SERVERS SAP","Offline","6/28/2019 2:09:04 AM","2.0.1530","3/28/2019 3:39:33 AM","197337","0","0","0","0","0","0","ROOT","Not Running"
"Protected","ECMPDB1","ECMPDB1","","","150.150.70.201","00-50-56-A8-43-BF","5-AQT MPT SCB","Microsoft Windows Server 2012 R2 Standard","BASA HN SERVERS SAP","Online","","2.0.1530","10/30/2018 6:07:48 PM","43691","0","0","0","0","0","4","ECMPDB1\SAP","Not Running"
"Protected","QFLOW-DB","Qflow-DB.ADBancat.hn","CN=QFLOW-DB, OU=HONDURAS, OU=SERVIDORES, OU=Computadores, DC=ADBancat, DC=hn","","10.128.0.57","00-50-56-B0-E8-5B","5-AQT MPT SCB","Microsoft Windows Server 2012 R2 Standard","BASA HN SERVERS PRD","Online","","2.0.1530","2/27/2019 2:19:23 AM","34756","2","0","1","0","0","0","QFLOW-DB\INFADMIN","Not Running"
"Protected","HNDESOCBSP_DB","HNDESOCBSP_DB.ADBancat.hn","CN=HNDESOCBSP_DB, OU=Desarrollo, OU=HONDURAS, OU=SERVIDORES, OU=Computadores, DC=ADBancat, DC=hn","Domain Computers","150.150.6.149","00-50-56-B0-41-B1","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","BASA HN SERVERS DEV","Online","","2.0.1530","6/11/2019 10:15:31 PM","32446","2","0","0","0","0","1","HNDESOCBSP_DB\OCBADM","Not Running"
"Protected","erpprcQjrtst","erpprcQjrtst","","","150.150.70.165","00-50-56-B0-98-FF","5-AQT MPT SCB","SUSE Linux Enterprise Server for SAP Applications 12 SP2","BASA HN SERVERS SAP","Online","","2.0.1530","4/4/2019 5:11:32 PM","87456","0","0","0","0","0","0","ROOT,(UNKNOWN)","Not Running"
"Protected","SAPPOCOREPRD","SAPPOCOREPRD","","","150.150.70.113","00-50-56-A8-86-66","5-AQT MPT SCB","Microsoft Windows Server 2012 R2 Standard","BASA HN SERVERS SAP","Online","","2.0.1530","11/26/2018 11:00:38 PM","32611","0","0","0","0","0","3","SAPPOCOREPRD\PCPADM,SAPPOCOREPRD\INFADMIN","Not Running"
"Protected","MONDBQAS","MonDBQAS.ADBancat.hn","CN=MONDBQAS, OU=HONDURAS, OU=SERVIDORES, OU=Computadores, DC=ADBancat, DC=hn","Domain Computers","10.128.2.65","00-50-56-82-26-23","5-AQT MPT SCB","Microsoft Windows Server 2012 R2 Standard","BASA HN SERVERS QAS","Online","","2.0.1530","11/16/2018 5:46:13 PM","61063","0","0","0","0","0","2","ADBANCAT\MONITOR","Not Running"
"Protected","HNPRDSCCM_APP","HNPRDSCCM_APP.ADBancat.hn","CN=HNPRDSCCM_APP, CN=Computers, DC=ADBancat, DC=hn","Domain Computers","10.128.0.175","00-50-56-A8-10-54","Default","Microsoft Windows Server 2019 Datacenter","BASA HN SERVERS PRD","Offline","7/2/2019 8:54:11 PM","2.0.1530","7/2/2019 5:11:02 PM","30994","0","0","0","0","0","0","HNPRDSCCM_APP\INFADMIN","Not Running"
"Protected","EIBSFIDUDBDV","EIBSFIDUDBDV.ADBancat.hn","CN=EIBSFIDUDBDV, OU=Desarrollo, OU=HONDURAS, OU=SERVIDORES, OU=Computadores, DC=ADBancat, DC=hn","Domain Computers","150.150.6.93","00-50-56-B0-0C-A0","5-AQT MPT SCB + Optics","Microsoft Windows Server 2008 R2 Standard, Service Pack 1","BASA HN SERVERS DEV","Online","","2.0.1530","3/3/2019 5:11:46 AM","66696","2","0","0","0","0","0","EIBSFIDUDBDV\INFADMIN","Not Running"
