"Unsafe/Protected","Name","DNS Name","Distinguished Name","Member of","State","Policy","OS Version","Offline Date","Agent Version","Zones","Added","Files Analyzed","Script Control","Unsafe","Quarantined","Waived","Abnormal","Exploit Attempts","IP Addresses","MAC Addresses","Last Reported Users","Background Detection"
"Protected","WIN-R6E4R4D8V7E","WIN-R6E4R4D8V7E","","","Online","5-AQT MPT SCB + Optics","Microsoft Windows Server 2008 R2 Standard, Service Pack 1","","2.0.1530","BASA HN SERVERS DEV","11/26/2018 10:11:28 PM","60007","0","0","1","0","0","1","150.150.6.70","00-50-56-B0-37-FD","WIN-R6E4R4D8V7E\INFADMIN","Not Running"
"Protected","ADMONSISDESIGNS","AdmonSisDesigns","","","Online","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","","2.0.1530","BASA HN INFATLAN TGU, BASA HN SERVERS PRD","11/26/2018 10:25:37 PM","39317","0","0","2","0","0","0","150.150.10.60","00-50-56-B0-19-FC","ADMONSISDESIGNS\ADMINISTRATOR,ADMONSISDESIGNS\GNAVAS","Not Running"
"Protected","FTPBACKUP","FTPBackup","","","Online","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","","2.0.1530","BASA HN SERVERS DEV","11/26/2018 10:26:54 PM","204782","0","0","1","0","0","3","150.150.6.150","00-50-56-B0-D4-93","FTPBACKUP\ADMINISTRATOR","Not Running"
"Protected","QASAPPINTER","QASAPPINTER","","","Online","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","","2.0.1530","BASA HN SERVERS QAS","11/26/2018 10:27:53 PM","50730","0","0","1","0","0","31","10.128.254.13","00-50-56-B0-2D-59","QASAPPINTER\INFADMIN","Not Running"
"Protected","SVR_COOPEINFA","SVR_COOPEINFA","","","Online","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 Standard","","2.0.1530","BASA HN SERVERS DEV","11/26/2018 10:28:30 PM","47133","0","0","1","0","0","0","150.150.6.34","00-0C-29-7C-11-7F","SVR_COOPEINFA\INFADMIN","Not Running"
"Protected","VSRV-SQLQAS","VSRV-SQLQAS","","","Online","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","","2.0.1530","BASA HN SERVERS QAS","11/26/2018 10:17:48 PM","30298","0","0","1","0","0","0","10.128.254.30","00-50-56-B0-92-C4","VSRV-SQLQAS\INFADMIN","Not Running"
"Protected","SVR-SOCKETSQAS","SVR-SOCKETSQAS","","","Online","5-AQT MPT SCB + Optics","Microsoft Windows Server 2008 R2 Standard, Service Pack 1","","2.0.1530","BASA HN SERVERS QAS","11/26/2018 9:40:13 PM","39239","0","0","1","0","0","0","10.128.254.25","00-50-56-B0-37-70","SVR-SOCKETSQAS\INFADMIN","Not Running"
"Protected","SC-DB-DEV","SC-DB-DEV","","","Online","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","","2.0.1530","BASA HN SERVERS DEV","11/26/2018 10:29:31 PM","30943","0","0","0","0","0","0","150.150.6.117","00-50-56-B0-D6-8B","SC-DB-DEV\INFADMIN","Not Running"
"Protected","SC-WS-DEV","SC-WS-DEV","","","Online","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","","2.0.1530","BASA HN SERVERS DEV","11/26/2018 10:29:35 PM","27068","0","0","0","0","0","3","150.150.6.118","00-50-56-B0-AA-E8","SC-WS-DEV\INFADMIN","Not Running"
"Protected","DES-CAJA","DES-CAJA","","","Online","5-AQT MPT SCB + Optics","Microsoft Windows Server 2008 R2 Standard, Service Pack 1","","2.0.1530","BASA HN SERVERS DEV","11/26/2018 10:29:35 PM","45544","0","0","1","0","0","0","150.150.6.76","00-50-56-9A-4D-D1","DES-CAJA\INFADMIN","Not Running"
"Protected","VSRVAPPINTSD","VSRVAPPINTSD","","","Online","5-AQT MPT SCB + Optics","Microsoft Windows Server 2008 R2 Standard, Service Pack 1","","2.0.1530","BASA HN SERVERS DEV","11/26/2018 10:30:24 PM","143762","0","0","3","0","0","0","150.150.6.11","00-50-56-B0-B7-66","VSRVAPPINTSD\INFADMIN","Not Running"
"Protected","PAYEXPEDITE-DES","PayExpedite-DES.ADBancat.hn","","","Online","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 Standard","","2.0.1530","BASA HN SERVERS DEV","11/26/2018 10:31:01 PM","58137","0","0","1","0","0","0","150.150.6.91","00-50-56-B0-83-3F","PAYEXPEDITE-DES\INFADMIN","Not Running"
"Protected","VSRVEDPCLEAR","VSRVEDPClear","","","Offline","5-AQT MPT SCB + Optics","Microsoft® Windows Server® 2008 Enterprise, Service Pack 2","6/13/2019 5:49:40 PM","2.0.1530","BASA HN SERVERS DEV","11/26/2018 10:31:22 PM","32628","0","0","0","0","0","0","150.150.6.31","00-50-56-9A-56-E3","VSRVEDPCLEAR\EDPADMIN","Not Running"
"Protected","VSRV-DES-KIOSK","VSRV-DES-KIOSK","","","Offline","5-AQT MPT SCB + Optics","Microsoft Windows Server 2008 R2 Standard, Service Pack 1","1/31/2019 5:09:09 PM","2.0.1510","BASA HN SERVERS DEV","11/26/2018 10:31:37 PM","32155","0","0","0","0","0","0","150.150.6.20","00-50-56-9A-00-21","","Not Running"
"Protected","VSRVEDPAUTVPMGR","VSRVEDPAUTVPMGR","","","Offline","5-AQT MPT SCB + Optics","Microsoft® Windows Server® 2008 Enterprise, Service Pack 2","6/12/2019 6:01:45 PM","2.0.1530","BASA HN SERVERS DEV","11/26/2018 10:32:00 PM","32698","0","0","0","0","0","0","150.150.6.32","00-50-56-9A-37-D7","VSRVEDPAUTVPMGR\EDPADMIN","Not Running"
"Protected","EDP","EDP","","","Offline","5-AQT MPT SCB + Optics","Microsoft® Windows Server® 2008 Enterprise, Service Pack 2","1/31/2019 5:10:30 PM","2.0.1510","BASA HN SERVERS DEV","11/26/2018 10:32:06 PM","32495","0","0","0","0","0","0","150.150.6.33","00-50-56-9A-1F-EA","EDP\EDPADMIN","Not Running"
"Protected","VSRVEDPREPDES","VSRVEDPREPDES","","","Online","5-AQT MPT SCB + Optics","Microsoft Windows Server 2008 R2 Standard, Service Pack 1","","2.0.1530","BASA HN SERVERS DEV","11/26/2018 10:32:09 PM","36796","0","0","0","0","0","0","150.150.6.39","00-50-56-9A-7E-3A","VSRVEDPREPDES\EDPADMIN","Not Running"
"Protected","SRVDESA-APPINT","SRVDESA-APPINT","","","Online","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","","2.0.1530","BASA HN SERVERS DEV","11/26/2018 10:35:04 PM","67619","0","0","1","0","0","20","150.150.6.60","00-50-56-B0-64-66","SRVDESA-APPINT\INFADMIN","Not Running"
"Protected","VSRVEDPCOM","VSRVEDPCom","","","Offline","5-AQT MPT SCB + Optics","Microsoft® Windows Server® 2008 Enterprise, Service Pack 2","6/24/2019 3:45:49 PM","2.0.1530","BASA HN SERVERS DEV","11/26/2018 10:31:08 PM","33109","0","0","0","0","0","0","150.150.6.30","00-50-56-B0-23-DF","VSRVEDPCOM\INFADMIN","Not Running"
"Protected","MONALERTASD","MonAlertasD.ADBancat.hn","CN=MONALERTASD, OU=Desarrollo, OU=HONDURAS, OU=SERVIDORES, OU=Computadores, DC=ADBancat, DC=hn","Domain Computers","Online","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","","2.0.1530","BASA HN SERVERS DEV","11/26/2018 10:36:08 PM","32476","0","0","1","0","0","0","150.150.6.120","00-50-56-B0-69-FD","MONALERTASD\INFADMIN","Not Running"
"Protected","MONSIMULADORD","MonSimuladorD.ADBancat.hn","CN=MONSIMULADORD, OU=Desarrollo, OU=HONDURAS, OU=SERVIDORES, OU=Computadores, DC=ADBancat, DC=hn","Domain Computers","Online","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","","2.0.1530","BASA HN SERVERS DEV","11/26/2018 10:36:37 PM","32390","0","0","0","0","0","5","150.150.6.123","00-50-56-B0-CE-77","MONSIMULADORD\INFADMIN","Not Running"
"Protected","VSRVFNX08TST","VSRVFNX08TST","","","Online","5-AQT MPT SCB + Optics","Microsoft Windows Server 2008 R2 Standard, Service Pack 1","","2.0.1530","BASA HN SERVERS DEV","11/26/2018 10:36:53 PM","35190","0","0","0","0","0","0","150.150.6.90","00-50-56-B0-54-CC","VSRVFNX08TST\INFADMIN","Not Running"
"Protected","SRV-DESA-GRUP1","SRV-DESA-GRUP1","","","Online","5-AQT MPT SCB + Optics","Microsoft Windows Server 2008 R2 Standard, Service Pack 1","","2.0.1530","BASA HN SERVERS DEV","11/26/2018 10:37:23 PM","86854","0","0","2","0","0","0","150.150.6.87, 192.168.145.67","00-50-56-B0-0D-27","SRV-DESA-GRUP1\ACASTELLANOS","Not Running"
"Protected","MONDBD","MonDBD.ADBancat.hn","CN=MONDBD, OU=HONDURAS, OU=SERVIDORES, OU=Computadores, DC=ADBancat, DC=hn","Domain Computers","Online","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","","2.0.1530","BASA HN SERVERS DEV","11/26/2018 10:38:17 PM","45628","0","0","0","0","0","3","150.150.6.119","00-50-56-B0-2F-5C","MONDBD\INFADMIN","Not Running"
"Protected","HNDESREMSOCKET_","HNDESREMSOCKET_.ADBancat.hn","CN=HNDESREMSOCKET_, OU=Desarrollo, OU=HONDURAS, OU=SERVIDORES, OU=Computadores, DC=ADBancat, DC=hn","Domain Computers","Online","5-AQT MPT SCB + Optics","Microsoft Windows Server 2008 R2 Standard, Service Pack 1","","2.0.1530","BASA HN SERVERS DEV","11/26/2018 10:38:53 PM","101356","0","0","2","0","0","0","150.150.6.26","00-50-56-B0-B8-B1","ADBANCAT\CDELCID,HNDESREMSOCKET_\IOSORIO","Not Running"
"Protected","VSRVAOLTST","vsrvaoltst","","","Offline","5-AQT MPT SCB + Optics","Microsoft Windows Server 2008 R2 Standard, Service Pack 1","3/1/2019 9:37:02 PM","2.0.1530","BASA HN SERVERS DEV","11/26/2018 10:40:09 PM","30339","0","0","0","0","0","0","150.150.6.106","00-50-56-9A-00-0C","VSRVAOLTST\INFADMIN","Not Running"
"Protected","HNDESREMSER_WEB","HNDESREMSER_WEB.ADBancat.hn","CN=HNDESREMSER_WEB, OU=Desarrollo, OU=HONDURAS, OU=SERVIDORES, OU=Computadores, DC=ADBancat, DC=hn","Domain Computers","Online","5-AQT MPT SCB + Optics","Microsoft Windows Server 2008 R2 Standard, Service Pack 1","","2.0.1530","BASA HN SERVERS DEV","11/26/2018 10:42:46 PM","71935","0","0","1","0","0","1","150.150.6.25","00-50-56-B0-0F-EE","ADBANCAT\AHENRIQUEZ,HNDESREMSER_WEB\INFADMIN,ADBANCAT\IOSORIO","Not Running"
"Protected","TELESOFT-DBW2K8","TELESOFT-DBW2K8.ADBancat.hn","","","Online","5-AQT MPT SCB + Optics","Microsoft Windows Server 2008 R2 Standard, Service Pack 1","","2.0.1530","BASA HN SERVERS DEV","11/26/2018 10:46:58 PM","44723","0","0","1","0","0","0","150.150.6.40","00-50-56-B0-F3-7B","TELESOFT-DBW2K8\INFADMIN","Not Running"
"Protected","SVR-ABATTBDDES","SVR-ABATTBDDES.ADBancat.hn","CN=SVR-ABATTBDDES, OU=HONDURAS, OU=SERVIDORES, OU=Computadores, DC=ADBancat, DC=hn","Domain Computers","Online","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","","2.0.1530","BASA HN SERVERS DEV","11/26/2018 11:00:07 PM","43093","0","0","1","0","0","40","150.150.6.126","00-50-56-B0-56-83","ADBANCAT\USER_DB_REPLI,SVR-ABATTBDDES\ADMINISTRATOR,SVR-ABATTBDDES\INFADMIN","Not Running"
"Protected","SVR-APPINTQAS","SVR-APPINTQAS","","","Online","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","","2.0.1530","BASA HN SERVERS QAS","11/26/2018 11:15:44 PM","64011","0","0","2","0","0","67","10.128.254.27","00-50-56-B0-91-C5","SVR-APPINTQAS\INFADMIN","Not Running"
"Protected","MONANALISIS2D","MonAnalisis2D.ADBancat.hn","CN=MONANALISIS2D, OU=HONDURAS, OU=SERVIDORES, OU=Computadores, DC=ADBancat, DC=hn","Domain Computers","Online","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","","2.0.1530","BASA HN SERVERS DEV","11/26/2018 10:36:31 PM","40119","0","0","0","0","0","0","150.150.6.122","00-50-56-B0-E2-B7","ADBANCAT\MONITOR,MONANALISIS2D\INFADMIN","Not Running"
"Protected","SRVMICCDESA","SRVMICCDESA","","","Online","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","","2.0.1530","BASA HN SERVERS DEV","11/26/2018 11:26:42 PM","80406","0","0","1","0","0","87","150.150.6.82","00-50-56-B0-83-90","SRVMICCDESA\ASPNET","Not Running"
"Protected","COTIZADOR-DEV2","Cotizador-DEV2","","","Online","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","","2.0.1530","BASA HN SERVERS DEV","12/17/2018 4:55:27 PM","72227","0","0","1","0","0","18","150.150.6.99","00-50-56-B0-87-8B","COTIZADOR-DEV2\INFADMIN","Not Running"
"Protected","COTIZADOR-QAS2","Cotizador-QAS2","","","Online","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","","2.0.1530","BASA HN SERVERS QAS","12/17/2018 8:29:41 PM","52062","0","0","1","0","0","0","10.128.254.51","00-50-56-B0-49-A5","COTIZADOR-QAS2\INFADMIN","Not Running"
"Protected","TELESOFT-TSTW2K","TELESOFT-TSTW2K.ADBancat.hn","CN=TELESOFT-TSTW2K, OU=HONDURAS, OU=SERVIDORES, OU=Computadores, DC=ADBancat, DC=hn","","Online","5-AQT MPT SCB + Optics","Microsoft Windows Server 2008 R2 Standard, Service Pack 1","","2.0.1530","BASA HN SERVERS DEV","1/28/2019 6:32:24 PM","43106","0","0","0","4","0","0","150.150.6.41","00-50-56-B0-06-8E","TELESOFT-TSTW2K\INFADMIN","Not Running"
"Protected","SCANCARPETASCOM","ScanCarpetasCompartidas.ADBancat.hn","","","Online","5-AQT MPT SCB + Optics","Microsoft Windows Server 2016 Standard","","2.0.1530","BASA HN INFATLAN TGU, BASA HN SERVERS PRD","1/31/2019 5:08:47 AM","37712","0","0","0","0","0","0","150.150.10.185","00-50-56-A8-2F-45","SCANCARPETASCOM\AUDITORIA,SCANCARPETASCOM\INFADMIN","Not Running"
"Protected","QFLOW-WEB-LAB","Qflow-web-lab.ADBancat.hn","","","Online","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 Standard","","2.0.1530","BASA HN SERVERS DEV","2/5/2019 12:35:45 AM","29418","0","0","0","0","0","0","150.150.6.136","00-50-56-B0-73-08","QFLOW-WEB-LAB\ADMINISTRATOR","Not Running"
"Protected","SRV-ATMFULLDES","SRV-ATMFULLDES.ADBancat.hn","CN=SRV-ATMFULLDES, OU=HONDURAS, OU=SERVIDORES, OU=Computadores, DC=ADBancat, DC=hn","Domain Computers","Online","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","","2.0.1530","BASA HN SERVERS DEV","2/12/2019 6:27:53 PM","46209","0","0","1","0","0","4","150.150.6.64","00-50-56-B0-B6-77","SRV-ATMFULLDES\INFADMIN","Not Running"
"Protected","IATGUGXVSRVR01","IATGUGXVSRVR01","","","Online","5-AQT MPT SCB + Optics","Microsoft Windows Server 2008 R2 Standard, Service Pack 1","","2.0.1530","BASA HN SERVERS DEV","2/13/2019 2:51:50 PM","46424","0","0","1","0","0","0","150.150.6.55","00-50-56-B0-12-27","IATGUGXVSRVR01\INFADMIN","Not Running"
"Protected","HNDEVOCBDB","HNDEVOCBDB.ADBancat.hn","CN=HNDEVOCBDB, OU=Desarrollo, OU=HONDURAS, OU=SERVIDORES, OU=Computadores, DC=ADBancat, DC=hn","Domain Computers","Online","5-AQT MPT SCB + Optics","Microsoft Windows Server 2016 Standard","","2.0.1530","BASA HN SERVERS DEV","2/13/2019 4:14:57 PM","59002","0","0","0","0","0","0","150.150.6.47","00-50-56-B0-24-78","HNDEVOCBDB\INFADMIN,HNDEVOCBDB\OCBSP05","Not Running"
"Protected","TABLEUDES","TableuDes.ADBancat.hn","CN=TABLEUDES, OU=Servidores  red 60 y otros, OU=Computadores, DC=ADBancat, DC=hn","Domain Computers","Offline","5-AQT MPT SCB + Optics","Microsoft Windows Server 2008 R2 Standard, Service Pack 1","3/1/2019 9:34:26 PM","2.0.1530","BASA HN SERVERS DEV","2/26/2019 2:54:14 AM","39735","0","0","0","0","0","0","150.150.6.65","00-50-56-B0-AA-2C","TABLEUDES\INFADMIN","Not Running"
"Protected","SRVDIDO-DESA","SRVDIDO-DESA","","","Online","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","","2.0.1530","BASA HN SERVERS DEV","2/26/2019 3:09:38 PM","47550","0","0","1","0","0","1","150.150.6.21","00-50-56-B0-BB-2B","SRVDIDO-DESA\INFADMIN","Not Running"
"Protected","SRVTQA","SRVTQA","","","Online","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 Standard","","2.0.1530","BASA HN SERVERS QAS","3/1/2019 6:12:33 PM","39129","0","0","1","0","0","0","10.128.254.28","00-50-56-B0-C7-93","SRVTQA\INFADMIN","Not Running"
"Protected","APPJAVA-QA","APPJAVA-QA","","","Online","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","","2.0.1530","BASA HN SERVERS QAS","3/1/2019 6:16:04 PM","27039","0","0","1","0","0","0","10.128.254.36","00-50-56-B0-45-4E","APPJAVA-QA\INFADMIN","Not Running"
"Protected","OCBPRDBADMAPP1","OCBPRDBADMAPP1","","","Online","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","","2.0.1530","BASA HN SERVERS QAS","3/1/2019 8:25:37 PM","29120","0","0","0","0","0","0","10.128.254.45","00-50-56-B0-E1-8B","OCBPRDBADMAPP1\OCBADM","Not Running"
"Protected","OCBPRDRBAPP2","OCBPRDRBAPP2","","","Online","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","","2.0.1530","BASA HN SERVERS QAS","3/1/2019 8:25:37 PM","28998","0","0","0","0","0","0","10.128.254.44","00-50-56-B0-BE-34","OCBPRDRBAPP2\OCBADM","Not Running"
"Protected","OCBPRDRBAPP1","OCBPRDRBAPP1","","","Online","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","","2.0.1530","BASA HN SERVERS QAS","3/1/2019 8:25:38 PM","28276","0","0","0","0","0","0","10.128.254.43","00-50-56-B0-0C-07","OCBPRDRBAPP1\OCBADM","Not Running"
"Protected","QASSISTEMANOTIF","QasSistemaNotificaciones","","","Online","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","","2.0.1530","BASA HN SERVERS QAS","3/1/2019 9:23:23 PM","31696","0","0","1","0","0","0","10.128.254.48","00-50-56-B0-DC-22","QASSISTEMANOTIF\INFADMIN","Not Running"
"Protected","SRV-IDENTITYGUA","SRV-IDENTITYGUARD","","","Online","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","","2.0.1530","BASA HN SERVERS QAS","3/1/2019 9:50:43 PM","44907","0","0","0","0","0","15","10.128.254.35","00-50-56-B0-09-6B","SRV-IDENTITYGUA\INFADMIN","Not Running"
"Protected","VSRVCEMPAPP-QAS","VSRVCEMPAPP-QAS","","","Online","5-AQT MPT SCB + Optics","Microsoft Windows Server 2008 R2 Standard, Service Pack 1","","2.0.1530","BASA HN SERVERS QAS","3/1/2019 10:23:20 PM","42712","0","0","1","0","0","0","10.128.254.24","00-50-56-B0-7D-E5","VSRVCEMPAPP-QAS\INFADMIN","Not Running"
"Protected","SILOCO-QAS","siloco-qas.ADBancat.hn","CN=SILOCO-QAS, OU=HONDURAS, OU=SERVIDORES, OU=Computadores, DC=ADBancat, DC=hn","Domain Computers","Online","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","","2.0.1530","BASA HN SERVERS QAS","3/1/2019 10:42:53 PM","36441","0","0","1","0","0","0","10.128.254.14","00-50-56-B0-87-78","SILOCO-QAS\INFADMIN","Not Running"
"Protected","SC-BO-DEV","SC-BO-DEV","","","Online","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","","2.0.1530","BASA HN SERVERS DEV","3/3/2019 3:07:17 AM","25922","0","0","0","0","0","0","150.150.6.116","00-50-56-B0-45-ED","SC-BO-DEV\INFADMIN,SC-BO-DEV\SMARTCHECK","Not Running"
"Protected","MONITORBASADEV","MonitorBasaDev","","","Online","5-AQT MPT SCB + Optics","Microsoft Windows Server 2016 Standard","","2.0.1530","BASA HN SERVERS DEV","3/3/2019 3:26:45 AM","50353","0","0","0","0","0","0","150.150.6.125","00-50-56-B0-60-E2","MONITORBASADEV\INFADMIN","Not Running"
"Protected","DATAQUALITY","DataQuality","","","Offline","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 Standard","3/18/2019 5:48:00 PM","2.0.1530","BASA HN SERVERS DEV","3/3/2019 3:30:58 AM","62518","0","0","0","0","0","0","150.150.6.171","00-50-56-B0-BE-1D","DATAQUALITY\INFADMIN","Not Running"
"Protected","POWERCENTER","PowerCenter","","","Offline","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 Standard","3/19/2019 3:34:20 PM","2.0.1530","BASA HN SERVERS DEV","3/3/2019 3:35:06 AM","60345","0","0","0","0","0","0","150.150.6.172","00-50-56-B0-51-79","POWERCENTER\INFADMIN","Not Running"
"Protected","DB_TEMP","DB_Temp","","","Offline","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 Standard","3/19/2019 8:05:45 PM","2.0.1530","BASA HN SERVERS DEV","3/3/2019 3:38:16 AM","55763","0","0","0","0","0","0","150.150.6.173","00-50-56-B0-76-35","DB_TEMP\INFADMIN","Not Running"
"Protected","HNDESREMMG_APP","HNDESREMMG_APP.ADBancat.hn","CN=HNDESREMMG_APP, OU=Desarrollo, OU=HONDURAS, OU=SERVIDORES, OU=Computadores, DC=ADBancat, DC=hn","Domain Computers","Online","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","","2.0.1530","BASA HN SERVERS DEV","3/3/2019 3:44:04 AM","31853","0","0","1","0","0","7","150.150.6.24","00-50-56-B0-CE-75","ADBANCAT\IOSORIO,HNDESREMMG_APP\INFADMIN","Not Running"
"Protected","VSRV-APPINTDES","VSRV-APPINTDES","","","Online","5-AQT MPT SCB + Optics","Microsoft Windows Server 2008 R2 Standard, Service Pack 1","","2.0.1530","BASA HN SERVERS DEV","3/3/2019 4:16:39 AM","51240","0","0","1","0","0","0","150.150.6.46","00-50-56-B0-F2-3A","VSRV-APPINT\INFADMIN","Not Running"
"Protected","HNDESENTRUST_AP","HNDESENTRUST_APP.ADBancat.hn","","","Online","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","","2.0.1530","BASA HN SERVERS DEV","3/3/2019 4:28:14 AM","41731","0","0","0","0","0","7","150.150.6.56","00-50-56-B0-94-EF","HNDESENTRUST_AP\INFADMIN","Not Running"
"Protected","DEVSISTEMANOTIF","DevSistemaNotificaciones364","","","Online","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","","2.0.1530","BASA HN SERVERS DEV","3/3/2019 4:32:16 AM","28995","0","0","1","0","0","3","150.150.6.71","00-50-56-B0-72-B9","DEVSISTEMANOTIF\INFADMIN","Not Running"
