"Unsafe/Protected","Name","DNS Name","Distinguished Name","Member of","IP Addresses","MAC Addresses","Agent Version","Policy","OS Version","State","Zones","Offline Date","Added","Files Analyzed","Script Control","Unsafe","Quarantined","Waived","Abnormal","Exploit Attempts","Last Reported Users","Background Detection"
"Protected","HNDESREMSOCKET_","HNDESREMSOCKET_.ADBancat.hn","CN=HNDESREMSOCKET_, OU=Desarrollo, OU=HONDURAS, OU=SERVIDORES, OU=Computadores, DC=ADBancat, DC=hn","Domain Computers","150.150.6.26","00-50-56-B0-B8-B1","2.0.1530","5-AQT MPT SCB + Optics","Microsoft Windows Server 2008 R2 Standard, Service Pack 1","Online","BASA HN SERVERS DEV","","11/26/2018 10:38:53 PM","102058","0","0","2","0","0","0","ADBANCAT\CDELCID","Not Running"
"Protected","VSRVAOLTST","VSRVAOLTST.ADBancat.hn","CN=VSRVAOLTST, CN=Computers, DC=ADBancat, DC=hn","Domain Computers","150.150.6.106","00-50-56-9A-00-0C","2.0.1530","5-AQT MPT SCB + Optics","Microsoft Windows Server 2008 R2 Standard, Service Pack 1","Offline","BASA HN SERVERS DEV","8/3/2019 4:12:38 AM","11/26/2018 10:40:09 PM","30473","0","0","0","0","0","0","VSRVAOLTST\INFADMIN","Not Running"
"Protected","HNDESREMSER_WEB","HNDESREMSER_WEB.ADBancat.hn","CN=HNDESREMSER_WEB, OU=Desarrollo, OU=HONDURAS, OU=SERVIDORES, OU=Computadores, DC=ADBancat, DC=hn","Domain Computers","150.150.6.25","00-50-56-B0-0F-EE","2.0.1530","5-AQT MPT SCB + Optics","Microsoft Windows Server 2008 R2 Standard, Service Pack 1","Online","BASA HN SERVERS DEV","","11/26/2018 10:42:46 PM","76296","0","0","1","0","0","1","HNDESREMSER_WEB\INFADMIN","Not Running"
"Protected","TELESOFT-DBW2K8","TELESOFT-DBW2K8.ADBancat.hn","","","150.150.6.40","00-50-56-B0-F3-7B","2.0.1530","5-AQT MPT SCB + Optics","Microsoft Windows Server 2008 R2 Standard, Service Pack 1","Offline","BASA HN SERVERS DEV","8/19/2019 5:54:35 PM","11/26/2018 10:46:58 PM","44948","0","0","1","0","0","0","TELESOFT-DBW2K8\INFADMIN","Not Running"
"Protected","SVR-ABATTBDDES","SVR-ABATTBDDES.ADBancat.hn","CN=SVR-ABATTBDDES, OU=HONDURAS, OU=SERVIDORES, OU=Computadores, DC=ADBancat, DC=hn","Domain Computers","150.150.6.126","00-50-56-B0-56-83","2.0.1530","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","Online","BASA HN SERVERS DEV","","11/26/2018 11:00:07 PM","44451","0","0","1","0","0","56","ADBANCAT\USER_DB_REPLI,SVR-ABATTBDDES\ADMINISTRATOR,ADBANCAT\RSALINAS","Not Running"
"Protected","SVR-APPINTQAS","SVR-APPINTQAS","","","10.128.254.27","00-50-56-B0-91-C5","2.0.1530","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","Online","BASA HN SERVERS QAS","","11/26/2018 11:15:44 PM","77488","0","0","2","0","0","138","SVR-APPINTQAS\INFADMIN","Not Running"
"Protected","COTIZADOR-DEV2","Cotizador-DEV2","","","150.150.6.99","00-50-56-B0-87-8B","2.0.1530","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","Online","BASA HN SERVERS DEV","","12/17/2018 4:55:27 PM","74364","0","0","1","0","0","18","COTIZADOR-DEV2\INFADMIN","Not Running"
"Protected","COTIZADOR-QAS2","Cotizador-QAS2","","","10.128.254.51","00-50-56-B0-49-A5","2.0.1530","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","Online","BASA HN SERVERS QAS","","12/17/2018 8:29:41 PM","57048","0","0","1","0","0","1","COTIZADOR-QAS2\INFADMIN","Not Running"
"Protected","SRVMICCDESA","SRVMICCDESA.ADBancat.hn","CN=SRVMICCDESA, OU=Desarrollo, OU=HONDURAS, OU=SERVIDORES, OU=Computadores, DC=ADBancat, DC=hn","Domain Computers","150.150.6.82","00-50-56-B0-83-90","2.0.1530","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","Online","BASA HN SERVERS DEV","","11/26/2018 11:26:42 PM","86372","0","0","1","0","0","114","SRVMICCDESA\INFADMIN","Not Running"
"Protected","ITGUAPPBK2","ITGUAPPBK2.ADBancat.hn","CN=ITGUAPPBK2, OU=HONDURAS, OU=SERVIDORES, OU=Computadores, DC=ADBancat, DC=hn","","150.150.10.200","00-50-56-B0-5D-CF","2.0.1494","5-AQT MPT SCB + Optics","Microsoft(R) Windows(R) Server 2003, Standard Edition, Service Pack 2","Offline","Agent Update 1534, BASA HN INFATLAN TGU, BASA HN SERVERS QAS","6/24/2019 7:56:58 PM","1/18/2019 3:02:27 PM","85110","0","0","13","0","0","0","ITGUAPPBK2\INFADMIN","Not Running"
"Protected","TELESOFT-TSTW2K","TELESOFT-TSTW2K.ADBancat.hn","CN=TELESOFT-TSTW2K, OU=HONDURAS, OU=SERVIDORES, OU=Computadores, DC=ADBancat, DC=hn","","150.150.6.41","00-50-56-B0-06-8E","2.0.1530","5-AQT MPT SCB + Optics","Microsoft Windows Server 2008 R2 Standard, Service Pack 1","Online","BASA HN SERVERS DEV","","1/28/2019 6:32:24 PM","43554","0","0","0","4","0","0","TELESOFT-TSTW2K\INFADMIN","Not Running"
"Protected","SCANCARPETASCOM","ScanCarpetasCompartidas.ADBancat.hn","","","150.150.10.185","00-50-56-A8-2F-45","2.0.1530","5-AQT MPT SCB + Optics","Microsoft Windows Server 2016 Standard","Online","BASA HN INFATLAN TGU, BASA HN SERVERS PRD","","1/31/2019 5:08:47 AM","38283","0","0","0","0","0","0","SCANCARPETASCOM\AUDITORIA,SCANCARPETASCOM\INFADMIN","Not Running"
"Protected","QFLOW-WEB-LAB","Qflow-web-lab.ADBancat.hn","","","150.150.6.136","00-50-56-B0-73-08","2.0.1530","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 Standard","Offline","BASA HN SERVERS DEV","8/19/2019 5:51:57 PM","2/5/2019 12:35:45 AM","29934","0","0","0","0","0","0","QFLOW-WEB-LAB\ADMINISTRATOR","Not Running"
"Protected","SRV-ATMFULLDES","SRV-ATMFULLDES.ADBancat.hn","CN=SRV-ATMFULLDES, OU=HONDURAS, OU=SERVIDORES, OU=Computadores, DC=ADBancat, DC=hn","Domain Computers","150.150.6.64","00-50-56-B0-B6-77","2.0.1530","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","Online","BASA HN SERVERS DEV","","2/12/2019 6:27:53 PM","53919","0","0","1","0","0","8","SRV-ATMFULLDES\INFADMIN","Not Running"
"Protected","IATGUGXVSRVR01","IATGUGXVSRVR01","","","150.150.6.55","00-50-56-B0-12-27","2.0.1530","5-AQT MPT SCB + Optics","Microsoft Windows Server 2008 R2 Standard, Service Pack 1","Online","BASA HN SERVERS DEV","","2/13/2019 2:51:50 PM","46763","0","0","1","0","0","0","IATGUGXVSRVR01\INFADMIN","Not Running"
"Protected","HNDEVOCBDB","HNDEVOCBDB.ADBancat.hn","CN=HNDEVOCBDB, OU=Desarrollo, OU=HONDURAS, OU=SERVIDORES, OU=Computadores, DC=ADBancat, DC=hn","Domain Computers","150.150.6.47","00-50-56-B0-24-78","2.0.1530","5-AQT MPT SCB + Optics","Microsoft Windows Server 2016 Standard","Online","BASA HN SERVERS DEV","","2/13/2019 4:14:57 PM","43048","0","0","0","0","0","0","HNDEVOCBDB\INFADMIN,HNDEVOCBDB\OCBSP05","Not Running"
"Protected","TABLEUDES","TableuDes.ADBancat.hn","CN=TABLEUDES, OU=Desarrollo, OU=HONDURAS, OU=SERVIDORES, OU=Computadores, DC=ADBancat, DC=hn","Domain Computers","150.150.6.65","00-50-56-B0-AA-2C","2.0.1530","5-AQT MPT SCB + Optics","Microsoft Windows Server 2008 R2 Standard, Service Pack 1","Offline","BASA HN SERVERS DEV","8/5/2019 9:22:06 PM","2/26/2019 2:54:14 AM","39875","0","0","0","0","0","0","TABLEUDES\INFADMIN","Not Running"
"Protected","SRVDIDO-DESA","SRVDIDO-DESA.ADBancat.hn","CN=SRVDIDO-DESA, OU=Desarrollo, OU=HONDURAS, OU=SERVIDORES, OU=Computadores, DC=ADBancat, DC=hn","Domain Computers","150.150.6.21","00-50-56-B0-BB-2B","2.0.1530","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","Offline","BASA HN SERVERS DEV","8/19/2019 5:53:00 PM","2/26/2019 3:09:38 PM","50679","0","0","1","0","0","1","SRVDIDO-DESA\INFADMIN","Not Running"
"Protected","SRVTQA","SRVTQA","","","10.128.254.28","00-50-56-B0-C7-93","2.0.1530","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 Standard","Online","BASA HN SERVERS QAS","","3/1/2019 6:12:33 PM","39472","0","0","1","0","0","0","SRVTQA\INFADMIN","Not Running"
"Protected","APPJAVA-QA","APPJAVA-QA.ADBancat.hn","CN=APPJAVA-QA, OU=QA, OU=HONDURAS, OU=SERVIDORES, OU=Computadores, DC=ADBancat, DC=hn","Domain Computers","10.128.254.36","00-50-56-B0-45-4E","2.0.1530","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","Online","BASA HN SERVERS QAS","","3/1/2019 6:16:04 PM","31282","0","0","1","0","0","0","APPJAVA-QA\INFADMIN","Not Running"
"Protected","OCBPRDBADMAPP1","OCBPRDBADMAPP1","","","10.128.254.45","00-50-56-B0-E1-8B","2.0.1530","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","Online","BASA HN SERVERS QAS","","3/1/2019 8:25:37 PM","29463","0","0","0","0","0","0","OCBPRDBADMAPP1\OCBADM","Not Running"
"Protected","OCBPRDRBAPP2","OCBPRDRBAPP2","","","10.128.254.44","00-50-56-B0-BE-34","2.0.1530","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","Online","BASA HN SERVERS QAS","","3/1/2019 8:25:37 PM","29249","0","0","0","0","0","0","OCBPRDRBAPP2\OCBADM","Not Running"
"Protected","OCBPRDRBAPP1","OCBPRDRBAPP1","","","10.128.254.43","00-50-56-B0-0C-07","2.0.1530","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","Online","BASA HN SERVERS QAS","","3/1/2019 8:25:38 PM","32790","0","0","0","0","0","0","OCBPRDRBAPP1\OCBADM","Not Running"
"Protected","QASSISTEMANOTIF","QasSistemaNotificaciones.ADBancat.hn","","","10.128.254.48","00-50-56-B0-DC-22","2.0.1530","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","Online","BASA HN SERVERS QAS","","3/1/2019 9:23:23 PM","37660","0","0","1","0","0","0","QASSISTEMANOTIF\INFADMIN","Not Running"
"Protected","SRV-IDENTITYGUA","SRV-IDENTITYGUARD","","","10.128.254.35","00-50-56-B0-09-6B","2.0.1530","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","Online","BASA HN SERVERS QAS","","3/1/2019 9:50:43 PM","45054","0","0","0","0","0","28","SRV-IDENTITYGUA\INFADMIN","Not Running"
"Protected","VSRVCEMPAPP-QAS","VSRVCEMPAPP-QAS","","","10.128.254.24","00-50-56-B0-46-D3","2.0.1530","5-AQT MPT SCB + Optics","Microsoft Windows Server 2008 R2 Standard, Service Pack 1","Online","BASA HN SERVERS QAS","","3/1/2019 10:23:20 PM","42923","0","0","1","0","0","0","VSRVCEMPAPP-QAS\INFADMIN","Not Running"
"Protected","SILOCO-QAS","siloco-qas.ADBancat.hn","CN=SILOCO-QAS, OU=HONDURAS, OU=SERVIDORES, OU=Computadores, DC=ADBancat, DC=hn","Domain Computers","10.128.254.14","00-50-56-B0-87-78","2.0.1530","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","Online","BASA HN SERVERS QAS","","3/1/2019 10:42:53 PM","37115","0","0","1","0","0","0","SILOCO-QAS\INFADMIN","Not Running"
"Protected","SC-BO-DEV","SC-BO-DEV","","","150.150.6.116","00-50-56-B0-45-ED","2.0.1530","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","Online","BASA HN SERVERS DEV","","3/3/2019 3:07:17 AM","26189","0","0","0","0","0","0","SC-BO-DEV\INFADMIN,SC-BO-DEV\SMARTCHECK","Not Running"
"Protected","MONITORBASADEV","MonitorBasaDev","","","150.150.6.125","00-50-56-B0-60-E2","2.0.1530","5-AQT MPT SCB + Optics","Microsoft Windows Server 2016 Standard","Offline","BASA HN SERVERS DEV","8/19/2019 5:52:54 PM","3/3/2019 3:26:45 AM","53085","0","0","0","0","0","0","MONITORBASADEV\INFADMIN","Not Running"
